Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Топливо,Привод,Ключи,Состояние,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Коробка передач,Город,Штат
2006 Toyota Corolla Ce,$ 900 USD,1,JTDBR32E160081866,,13.05.2024 19:00 UTC,1.8l 4,,Белый,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 9 896 USD,$ 6 100 USD,CA - SALVAGE CERTIFICATE,Материальный ущерб,Повреждение передней части,,Автоматическая,SACRAMENTO,CALIFORNIA
2013 Toyota Scion Fr-s,$ 1 200 USD,1,JF1ZNAA12D1734487,92 367 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Угольный,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 9 296 USD,$ 9 625 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,Повреждение задней части,Механическая,KAPOLEI,HAWAII
2021 Kia Soul Lx,$ 6 900 USD,1,KNDJ23AU3M7784186,17 406 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Серый,Бензин,передний привод,Ключи присутствуют,двигатель запускается,$ 17 129 USD,$ 21 525 USD,AZ - CERT OF TITLE - SALVAGE,Кража,Вандализм,Повреждение задней части,Автоматическая,PHOENIX,ARIZONA
2017 Chevrolet Impala Lt,$ 1 450 USD,1,2G1105S36H9190468,80 979 mi,13.05.2024 19:00 UTC,3.6l 6,,Синий,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 13 385 USD,$ 13 525 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,PHOENIX,ARIZONA
2016 Porsche Cayenne,$ 8 700 USD,1,WP1AA2A2XGKA37941,100 657 mi(подтвержден),13.05.2024 19:00 UTC,3.6l 6,,Черный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 19 950 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,NORTH LAS VEGAS,NEVADA
2017 Nissan Rogue Sport S,$ 3 000 USD,2,JN1BJ1CP5HW033835,117 059 mi(подтвержден),13.05.2024 17:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 11 658 USD,$ 12 800 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины,Автоматическая,LEBANON,TENNESSEE
2004 Ford F250 Super Duty,$ 225 USD,6,1FTNX21L74EE01415,,13.05.2024 14:00 UTC,5.4l 8,,Белый,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 0 USD,NY - CERTIFICATE OF TITLE,Публичный коносамент,Механическое повреждение,Нормальный износ,Автоматическая,ALBANY,NEW YORK
2021 Chevrolet Trailblazer Rs,$ 3 400 USD,1,KL79MTSL0MB064406,41 466 mi(подтвержден),13.05.2024 19:00 UTC,1.3l 3,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 23 616 USD,$ 24 400 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая,MARTINEZ,CALIFORNIA
2015 Honda Pilot Exl,$ 800 USD,1,5FNYF4H55FB060164,167 192 mi(подтвержден),13.05.2024 17:00 UTC,3.5l 6,,Бордовый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 12 941 USD,$ 15 175 USD,WI - JUNKED VEHICLE BILL OF SALE,Столкновение,Повреждение задней части,,Автоматическая,FRANKLIN,WISCONSIN
2024 Toyota Sienna Xle,$ 31 000 USD,1,5TDYRKEC8RS184590,3 444 mi(подтвержден),13.05.2024 16:00 UTC,2.5l 4,,Серебряный,Гибрид,передний привод,Ключи присутствуют,заводится и едет,$ 21 013 USD,$ 0 USD,AZ - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Повреждение ходовой части,Автоматическая,TUCSON,ARIZONA
2017 Dodge Journey Se,$ 225 USD,2,3C4PDCAB8HT602079,109 240 mi,13.05.2024 17:00 UTC,2.4l 4,,Черный,Бензин,передний привод,Ключи присутствуют,,$ 8 547 USD,$ 9 375 USD,AR - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,CONWAY,ARKANSAS
2018 Nissan Altima 2.5,$ 2 550 USD,1,1N4AL3AP1JC216700,136 190 mi(подтвержден),13.05.2024 14:00 UTC,2.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 6 951 USD,$ 15 400 USD,NC - SALVAGE CERTIFICATE OF TITLE,Неизвестно,Повреждение передней части,,Автоматическая,LUMBERTON,NORTH CAROLINA
2023 Kia Telluride Sx,$ 21 800 USD,1,5XYP5DGC1PG323954,2 065 mi(подтвержден),13.05.2024 14:00 UTC,3.8l 6,,Белый,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,$ 32 842 USD,$ 51 400 USD,GA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LOGANVILLE,GEORGIA
2014 Mazda Cx-9 Sport,$ 2 000 USD,1,JM3TB2BA1E0440574,150 724 mi(подтвержден),13.05.2024 14:00 UTC,3.7l 6,4-дверный спорт,Синий,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 7 480 USD,$ 7 625 USD,GA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,,Автоматическая,FAIRBURN,GEORGIA
2012 Volkswagen Passat S,$ 1 USD,14,1VWAP7A38CC057547,144 460 mi(подтвержден),13.05.2024 22:00 UTC,2.5l 5,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 27 034 USD,$ 7 550 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,KAPOLEI,HAWAII
1999 Mercedes-benz E 320,$ 175 USD,9,WDBJF65H8XA760846,,13.05.2024 22:00 UTC,3.2l 6,,Черный,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 0 USD,HI - CERTIFICATE OF TITLE,Пожертвование,Нормальный износ,,Автоматическая,KAPOLEI,HAWAII
2023 Gmc Acadia Slt,$ 17 600 USD,1,1GKKNML47PZ115432,16 748 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 6 706 USD,$ 34 300 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение задней части,,Автоматическая,KAPOLEI,HAWAII
2022 Chevrolet Malibu Lt,$ 3 600 USD,1,1G1ZD5STXNF161663,21 316 mi(подтвержден),13.05.2024 22:00 UTC,1.5l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,двигатель запускается,$ 0 USD,$ 21 675 USD,HI - CERTIFICATE OF SALVAGE (P),Аренда,Повсюду,,Автоматическая,KAPOLEI,HAWAII
2023 Nissan Altima Sv,$ 1 050 USD,1,1N4BL4DV9PN325147,,13.05.2024 22:00 UTC,2.5l 4,,Красный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 25 950 USD,HI - CERTIFICATE OF SALVAGE (P),Столкновение,Повсюду,,Автоматическая,KAPOLEI,HAWAII
2021 Nissan Kicks Sv,$ 6 300 USD,1,3N1CP5CV9ML534106,36 578 mi(подтвержден),13.05.2024 22:00 UTC,1.6l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 9 501 USD,$ 19 225 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,KAPOLEI,HAWAII
2020 Kia Optima Lx,$ 9 100 USD,1,5XXGT4L37LG393520,57 117 mi(подтвержден),13.05.2024 22:00 UTC,2.4l 4,,Угольный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 4 668 USD,$ 18 800 USD,HI - CERTIFICATE OF TITLE,Вандализм,Вандализм,Вандализм,Автоматическая,KAPOLEI,HAWAII
2004 Chevrolet Tracker,$ 275 USD,4,2CNBE134346910992,97 318 mi(подтвержден),13.05.2024 22:00 UTC,2.5l 6,,Желтый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 0 USD,HI - CERTIFICATE OF TITLE,Пожертвование,Нормальный износ,,Автоматическая,KAPOLEI,HAWAII
2019 Dodge Grand Caravan Gt,$ 9 400 USD,1,2C4RDGEG3KR536220,53 750 mi(подтвержден),13.05.2024 22:00 UTC,3.6l 6,,Белый,Этанолосодержащий бензин,передний привод,Ключи присутствуют,двигатель запускается,$ 7 880 USD,$ 17 425 USD,HI - CERTIFICATE OF TITLE,Неизвестно,Механическое повреждение,,Автоматическая,KAPOLEI,HAWAII
1999 Mercedes-benz C 230,$ 2 USD,12,WDBHA24G0XA752271,101 373 mi(подтвержден),13.05.2024 22:00 UTC,2.3l 4,,Бордовый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 4 100 USD,HI - CERTIFICATE OF TITLE,Пожертвование,Нормальный износ,,Автоматическая,KAPOLEI,HAWAII
2004 Dodge Dakota Sxt,$ 525 USD,1,1D7FL16K14S654084,153 339 mi(подтвержден),13.05.2024 22:00 UTC,3.7l 6,,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 0 USD,HI - CERTIFICATE OF TITLE,Пожертвование,Нормальный износ,,Автоматическая,KAPOLEI,HAWAII
2006 Toyota Corolla Matrix Xr,$ 2 USD,2,2T1KR30E86C609749,138 414 mi(подтвержден),13.05.2024 22:00 UTC,1.8l 4,,Белый,Бензин,передний привод,Ключи присутствуют,двигатель запускается,$ 6 487 USD,$ 6 875 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение задней части,,Автоматическая,KAPOLEI,HAWAII
2010 Hyundai Elantra Blue,$ 2 USD,2,KMHDU4AD2AU943706,65 322 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Синий,Бензин,передний привод,Ключи присутствуют,двигатель запускается,$ 13 041 USD,$ 5 275 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,KAPOLEI,HAWAII
2023 Ford Escape St Line,$ 15 200 USD,1,1FMCU0MNXPUA79781,7 151 mi(подтвержден),13.05.2024 22:00 UTC,1.5l 3,,Угольный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 10 380 USD,$ 28 225 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая,KAPOLEI,HAWAII
2019 Ford Edge Sel,$ 10 100 USD,1,2FMPK3J99KBB81524,54 390 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 8 671 USD,$ 17 775 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,,Автоматическая,KAPOLEI,HAWAII
2020 Gmc Yukon Xl K1500 Slt,$ 29 750 USD,1,1GKS2GKC4LR192398,43 243 mi(подтвержден),13.05.2024 22:00 UTC,5.3l 8,,Черный,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,$ 16 201 USD,$ 43 925 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение задней части,,Автоматическая,KAPOLEI,HAWAII
2019 Dodge Grand Caravan Gt,$ 10 100 USD,1,2C4RDGEG1KR765236,44 125 mi(подтвержден),13.05.2024 22:00 UTC,3.6l 6,,Бордовый,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,$ 7 877 USD,$ 17 425 USD,HI - CERTIFICATE OF TITLE,Неизвестно,Механическое повреждение,,Автоматическая,KAPOLEI,HAWAII
2020 Ford Edge Sel,$ 12 400 USD,1,2FMPK3J99LBA50370,54 759 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 12 134 USD,$ 21 150 USD,HI - CERTIFICATE OF TITLE,Неизвестно,Механическое повреждение,,Автоматическая,KAPOLEI,HAWAII
2019 Dodge Grand Caravan Gt,$ 8 400 USD,1,2C4RDGEG3KR536315,54 776 mi(подтвержден),13.05.2024 22:00 UTC,3.6l 6,,Серебряный,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,$ 7 902 USD,$ 17 425 USD,HI - CERTIFICATE OF TITLE,Неизвестно,Механическое повреждение,,Автоматическая,KAPOLEI,HAWAII
2023 Subaru Brz Premium,$ 2 850 USD,1,JF1ZDBC16P8703583,5 799 mi(подтвержден),13.05.2024 22:00 UTC,2.4l 4,,Белый,Бензин,задний привод,Ключи присутствуют,двигатель запускается,$ 27 710 USD,$ 30 275 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая,KAPOLEI,HAWAII
2021 Nissan Sentra Sv,$ 225 USD,2,3N1AB8CV6MY268974,,13.05.2024 22:00 UTC,2.0l 4,,Синий,Бензин,передний привод,Ключи присутствуют,,$ 18 958 USD,$ 20 050 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,KAPOLEI,HAWAII
2014 Ford Escape Titanium,$ 5 200 USD,1,1FMCU9J93EUD32061,55 041 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Синий,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,$ 10 657 USD,$ 15 375 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,Повреждение передней части,Автоматическая,KAPOLEI,HAWAII
2022 Chevrolet Malibu Lt,$ 5 000 USD,1,1G1ZD5STXNF133135,41 532 mi(подтвержден),13.05.2024 22:00 UTC,1.5l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 17 040 USD,$ 22 275 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение задней части,,Автоматическая,KAPOLEI,HAWAII
2014 Dodge Durango R/t,$ 3 250 USD,1,1C4SDJCT9EC323431,81 957 mi(подтвержден),13.05.2024 22:00 UTC,5.7l 8,4-дверный спорт,Белый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 17 675 USD,HI - BILL OF SALE - PARTS ONLY,Столкновение,Повреждение задней части,,Автоматическая,KAPOLEI,HAWAII
2019 Chevrolet Equinox Lt,$ 3 450 USD,2,2GNAXKEV3K6161699,51 918 mi(подтвержден),13.05.2024 22:00 UTC,1.5l 4,,Угольный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 12 922 USD,$ 20 275 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая,KAPOLEI,HAWAII
2023 Mercedes-benz Glb 250,$ 18 300 USD,1,W1N4M4GB4PW260549,12 021 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 39 075 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая,KAPOLEI,HAWAII
2023 Mercedes-benz Glb 250,$ 18 300 USD,1,W1N4M4GB4PW260549,12 021 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 39 075 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая,KAPOLEI,HAWAII
2007 Kia Sedona Ex,$ 2 USD,1,KNDMB133876126203,151 025 mi(подтвержден),13.05.2024 22:00 UTC,3.8l 6,спортивная версия,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 4 375 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая,KAPOLEI,HAWAII
2016 Nissan Nv200 2.5s,$ 2 USD,1,3N6CM0KN7GK694731,93 448 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,грузовой фургон,Красный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 0 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,KAPOLEI,HAWAII
2014 Jeep Patriot Sport,$ 30 USD,1,1C4NJPBA0ED881784,107 429 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 3 918 USD,$ 7 800 USD,HI - CERTIFICATE OF SALVAGE,Неизвестно,Повреждение передней части,,Автоматическая,KAPOLEI,HAWAII
